11 Com b,19.4,,326.03,1.29,0.231,,0.011664,2008,8/21/15,94.8,2452899.6,,,Published in a refereed paper,Radial Velocity,,,,11 Com,185.1791667,17.7927778,4.74,110.6,-0.35,2.7,19,G8 III,,4742
11 UMi b,10.5,,516.22,1.54,0.08,,0.012887,2009,8/13/09,117.63,2452861.05,,,Published in a refereed paper,Radial Velocity,,,,11 UMi,229.275,71.8238889,5.02,119.5,0.04,1.8,24.08,K4III,1.56,4340
14 And b,5.33,,185.84,0.83,0,,0.010864,2008,8/27/14,,2452861.4,,,Published in a refereed paper,Radial Velocity,,,,14 And,352.8208333,39.2361111,5.22,76.4,-0.24,2.2,11,K0III,,4813
14 Her b,4.64,,1773.4,2.77,0.369,,0.153039,2002,8/27/14,22.6,2451372.7,,,Published in a refereed paper,Radial Velocity,,,,14 Her,242.5958333,43.8216667,6.67,18.1,0.43,0.9,0.708,K0 V,5.1,5311
16 Cyg B b,1.68,,799.5,1.68,0.689,,0.078468,1996,8/27/14,83.4,2450539.3,,,Published in a refereed paper,Radial Velocity,,,,16 Cyg B,295.4625,50.5175,6.2,21.41,0.08,1.01,0.98,G2.5 V,8,5766
18 Del b,10.3,,993.3,2.6,0.08,,0.035568,2008,8/27/14,166.1,2451672,,,Published in a refereed paper,Radial Velocity,,,,18 Del,314.6083333,10.8391667,5.52,73.1,-0.052,2.3,8.5,G6III,,4979
1RXS 1609 b,14,1.7,,330,,,2.275862,2008,3/5/15,,,,1800,Published in a refereed paper,Imaging,,,"H2O, CO, K",1RXS1609,242.375,-21.0827778,,145,,0.73,1.35,K7V,0.011,4060
1SWASP J1407 b,20,,3725,3.9,,,,2012,10/29/14,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,1SWASP J1407,211.95,-39.76194447,12.4,133,,0.9,0.99,,0.016,4400
24 Sex b,1.99,,452.8,1.333,0.09,,0.017821,2010,5/23/14,9.2,2454762,,,Published in a refereed paper,Radial Velocity,,,,24 Sex,155.8666667,0.9022222,7.38,74.8,-0.03,1.54,4.9,G5,2.7,5098
24 Sex c,0.86,,883,2.08,0.29,,0.027807,2010,5/23/14,220.5,2454930,,,Published in a refereed paper,Radial Velocity,,,,24 Sex,155.8666667,0.9022222,7.38,74.8,-0.03,1.54,4.9,G5,2.7,5098
2M 0103(AB) b,13,,,84,,,,2013,7/22/13,,,,,Published in a refereed paper,Imaging,,,,2M 0103(AB),15.9,-55.2656,,47.2,,0.4,,M,0.03,
2M 0122-2439 b,20,1,,52,,,,2013,4/29/15,,,,1380,Published in a refereed paper,Imaging,,,,2M 0122-2439,20.7125,-24.6142,,36,,0.4,,M3.5,0.12,
2M 0219-3925 b,13.9,1.44,,156,,,,2015,6/14/15,,,,1683,Published in a refereed paper,Imaging,Spectrum,Theoretical,,2M 0219-3925,34.84166667,-39.42305557,,39.4,,0.11,0.27,M6,,3064
2M 044144 b,7.5,,,15,,,0.107143,2010,4/6/10,,,,,Published in a refereed paper,Imaging,,,,2M 044144,70.4375,23.0308333,,140,,0.02,,M8.5,0.001,
2M 0746+20 b,30,0.97,4640,2.897,0.487,138.2,0.237265,2010,1/20/12,354.4,,,,Published in a refereed paper,Imaging,,,,2M 0746+20,116.6791667,20.0088889,,12.21,,0.12,0.089,,,2205
2M 1936+4603 b,1.9,,416,0.92,,,,2015,4/21/15,,,,,Published in a refereed paper,Pulsar,TTV,,,2M  1938+4603,294.6375,46.0663889,,,,0.6,,sdB+M,,
2M 2140+16 b,20,0.92,7340,3.53,0.26,46.2,0.1412,2010,1/20/12,223,,,,Published in a refereed paper,Imaging,,,,2M 2140+16,325.1208333,16.4216667,,25,,0.08,0.1,,,2300
2M 2206-20 b,30,1.3,8686,4.48,0,44.3,0.167979,2010,1/20/12,,,,,Published in a refereed paper,Imaging,,,,2M 2206-20,331.5958333,-20.785,,26.67,,0.13,0.11,,,2350
2M1207 b,4,,,46,,,0.877863,2004,5/25/14,,,,,Published in a refereed paper,Imaging,,,,2M1207,181.8875,-39.5483333,20.15,52.4,,0.025,,M8,0.008,
2MASS J2126-8140,13.3,,,6900,,,,2016,1/29/16,,,,1800,Published in a refereed paper,Imaging,Spectrum,,,TYC 9486-927-1,321.3666667,-81.64111113,9,24.75,,0.4,,M2,0.027,
30 Ari B b,9.88,,335.1,0.995,0.289,,0.025254,2009,11/27/09,307,2454538,,,Published in a refereed paper,Radial Velocity,,,,30 Ari B,39.2416667,24.6480556,7.1,39.4,0.12,1.22,1.23,F6V,0.91,6484
